Valeur,Texte
raspberry_adelita,Framboises Adelita
raspberry_yellow,Framboises Jaunes
raspberry_kwanza,Framboises Kwanza
raspberry_lyon,Framboises Lyon
raspberry_maravilla,Framboises Maravilla
raspberry_tulameen,Framboises Tulameen
raspberry_redcurrant_duo,Framboises/Groseilles Duo
raspberry_blackberry_duo,Framboises/Mûres Duo
raspberry_blueberry_duo,Framboises/Myrtilles Duo
salad_curly_endive_blanched,Frisée - Blanchie
ginger,Gingembre
gumbo,Gombo
guava,Goyave
pomegranate,Grenade
pomegranate_acco,Grenades Acco
pomegranate_hicaz,Grenades Hicaz
pomegranate_mollar,Grenades Mollar
pomegranate_wondefull,Grenades Wonderfull
redcurrant,Groseilles
redcurrant_white,Groseilles Blanches
redcurrant_junifer,Groseilles Junifer
redcurrant_maquereau,Groseilles Maquereau
redcurrant_rovada,Groseilles Rovada
redcurrant_cranberries_duo,Groseilles/Canneberges Duo
green_bean,Haricot Verts
green_bean_ami,Haricots Verts Ami
green_bean_paulista,Haricots Verts Paulista
green_bean_salamanca,Haricots Verts Salamanca
green_bean_teresa,Haricots Verts Teresa
yam,Igname
persimmon,Kaki
persimmon_chinese,Kaki Persimon
persimmon_shiny_red,Kakis Rouges Brillants
kiwi,Kiwi
kiwi_early_green,Kiwi Early Green
kiwi_gold,Kiwi Gold
kiwi_hayward,Kiwi Hayward
kiwi_sungold_yellow,Kiwi Sungold Jaune
kiwi_green,Kiwi vert
kumquat,Kumquat
bay_leaf,Laurier
lychee,Litchi
corn,Maïs
mango,Mangues
mango_ataulfo,Mangues Ataulfo
mango_irwin,Mangues Irwin
mango_keith,Mangues Keith
mango_kent,Mangues Kent
mango_osteen,Mangues Osteen
mango_palmer,Mangues Palmer
mango_tommy_atkins,Mangues Tommy Atkins
manioc,Manioc
marjoram,Marjolaine
chestnuts,Marron / Chataîgne
melon_devesa,Melon Devesa
melon,Melons
melon_cantaloup,Melons Cantaloup
melon_cantaloup_italian,Melons Cantaloup Italian
melon_charentais,Melons Charentais
melon_charentais_yellow,Melons Charentais Jaune
melon_charentais_green,Melons Charentais Vert
melon_galia,Melons Galia
melon_yellow,Melons Jaunes
melon_red_falcon,Melons Red Falcon
mint,Menthe
aubergine_mini,Mini Aubergines
aubergine_mini_arlequin,Mini Aubergines Arlequin
aubergine_mini_mix,Mini Aubergines mélange
cucumber_stick,Mini Concombres
