Valeur,Texte
aromatic_plants,Plantes aromatiques
berries,Fruits rouges
bulbs,Bulbes
cabbages,Choux
cereals,Céréales
citrus,Agrumes
exotic_fruits,Fruits exotiques
fruits,Fruits
lettuces,Salades
mushrooms,Champignons
potatoes,Pommes de terre
root_vegetables,Légumes racines
spices,spices
stone_fruits,Fruits à noyaux
tomatoes,Tomates
vegetables,Légumes
